color;director_name;duration;gross;genres;movie_title;title_year;language;country;budget;imdb_score;actors;movie_facebook_likes;;
COLOR;MARTIN SCORSESE;240;116866727.0;BIOGRAPHY;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;MARTIN SCORSESE;240;116866727.0;COMEDY;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;MARTIN SCORSESE;240;116866727.0;CRIME;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;MARTIN SCORSESE;240;116866727.0;DRAMA;THE WOLF OF WALL STREET;2013;ENGLISH;USA;100000000.0;8.2;"""LEONARDO DICAPRIO";MATTHEW MCCONAUGHEY;"JON FAVREAU""";138000
COLOR;SHANE BLACK;195;408992272.0;ACTION;IRON MAN 3;2013;ENGLISH;USA;200000000.0;7.2;"""ROBERT DOWNEY JR.";JON FAVREAU;"DON CHEADLE""";95000
COLOR;SHANE BLACK;195;408992272.0;ADVENTURE;IRON MAN 3;2013;ENGLISH;USA;200000000.0;7.2;"""ROBERT DOWNEY JR.";JON FAVREAU;"DON CHEADLE""";95000
COLOR;SHANE BLACK;195;408992272.0;SCI-FI;IRON MAN 3;2013;ENGLISH;USA;200000000.0;7.2;"""ROBERT DOWNEY JR.";JON FAVREAU;"DON CHEADLE""";95000
COLOR ;QUENTIN TARANTINO;187;54116191.0;CRIME;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
COLOR ;QUENTIN TARANTINO;187;54116191.0;DRAMA;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
COLOR ;QUENTIN TARANTINO;187;54116191.0;MYSTERY;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
COLOR ;QUENTIN TARANTINO;187;54116191.0;THRILLER;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
COLOR ;QUENTIN TARANTINO;187;54116191.0;WESTERN;THE HATEFUL EIGHT;2015;ENGLISH;USA;44000000.0;7.9;"""CRAIG STARK";JENNIFER JASON LEIGH;"ZOË BELL""";114000
COLOR;KENNETH LONERGAN;186;46495.0;DRAMA;MARGARET;2011;ENGLISH;USA;14000000.0;6.5;"""MATT DAMON";KIERAN CULKIN;"JOHN GALLAGHER JR.""";0
COLOR;PETER JACKSON;186;258355354.0;ADVENTURE;THE HOBBIT: THE DESOLATION OF SMAUG;2013;ENGLISH;USA;225000000.0;7.9;"""AIDAN TURNER";ADAM BROWN;"JAMES NESBITT""";83000
COLOR;PETER JACKSON;186;258355354.0;FANTASY;THE HOBBIT: THE DESOLATION OF SMAUG;2013;ENGLISH;USA;225000000.0;7.9;"""AIDAN TURNER";ADAM BROWN;"JAMES NESBITT""";83000
COLOR;PETER JACKSON;50;303001229.0;ADVENTURE;THE HOBBIT: AN UNEXPECTED JOURNEY;2012;ENGLISH;USA;180000000.0;7.9;"""AIDAN TURNER";ADAM BROWN;"JAMES NESBITT""";166000
COLOR;PETER JACKSON;50;303001229.0;FANTASY;THE HOBBIT: AN UNEXPECTED JOURNEY;2012;ENGLISH;USA;180000000.0;7.9;"""AIDAN TURNER";ADAM BROWN;"JAMES NESBITT""";166000
COLOR;JOSS WHEDON;173;623279547.0;ACTION;THE AVENGERS;2012;ENGLISH;USA;220000000.0;8.1;"""CHRIS HEMSWORTH";ROBERT DOWNEY JR.;"SCARLETT JOHANSSON""";123000
COLOR;JOSS WHEDON;173;623279547.0;ADVENTURE;THE AVENGERS;2012;ENGLISH;USA;220000000.0;8.1;"""CHRIS HEMSWORTH";ROBERT DOWNEY JR.;"SCARLETT JOHANSSON""";123000
COLOR;JOSS WHEDON;173;623279547.0;SCI-FI;THE AVENGERS;2012;ENGLISH;USA;220000000.0;8.1;"""CHRIS HEMSWORTH";ROBERT DOWNEY JR.;"SCARLETT JOHANSSON""";123000
COLOR;JOSS WHEDON;173;623279547.0;ACTION;THE AVENGERS;2012;ENGLISH;USA;220000000.0;8.1;"""CHRIS HEMSWORTH";ROBERT DOWNEY JR.;"SCARLETT JOHANSSON""";123000
COLOR;JOSS WHEDON;173;623279547.0;ADVENTURE;THE AVENGERS;2012;ENGLISH;USA;220000000.0;8.1;"""CHRIS HEMSWORTH";ROBERT DOWNEY JR.;"SCARLETT JOHANSSON""";123000
COLOR;JOSS WHEDON;173;623279547.0;SCI-FI;THE AVENGERS;2012;ENGLISH;USA;220000000.0;8.1;"""CHRIS HEMSWORTH";ROBERT DOWNEY JR.;"SCARLETT JOHANSSON""";123000
COLOR;NULL;158;102515793.0;CRIME;THE GIRL WITH THE DRAGON TATTOO;2011;ENGLISH;USA;90000000.0;7.8;"""ROBIN WRIGHT";GORAN VISNJIC;"JOELY RICHARDSON""";54000
COLOR;NULL;158;102515793.0;DRAMA;THE GIRL WITH THE DRAGON TATTOO;2011;ENGLISH;USA;90000000.0;7.8;"""ROBIN WRIGHT";GORAN VISNJIC;"JOELY RICHARDSON""";54000
COLOR;NULL;158;102515793.0;MYSTERY;THE GIRL WITH THE DRAGON TATTOO;2011;ENGLISH;USA;90000000.0;7.8;"""ROBIN WRIGHT";GORAN VISNJIC;"JOELY RICHARDSON""";54000
COLOR;NULL;158;102515793.0;THRILLER;THE GIRL WITH THE DRAGON TATTOO;2011;ENGLISH;USA;90000000.0;7.8;"""ROBIN WRIGHT";GORAN VISNJIC;"JOELY RICHARDSON""";54000
COLOR;CHRISTOPHER NOLAN;169;187991439.0;ADVENTURE;INTERSTELLAR;2014;ENGLISH;USA;165000000.0;8.6;"""MATTHEW MCCONAUGHEY";ANNE HATHAWAY;"MACKENZIE FOY""";349000
COLOR;CHRISTOPHER NOLAN;169;187991439.0;DRAMA;INTERSTELLAR;2014;ENGLISH;USA;165000000.0;8.6;"""MATTHEW MCCONAUGHEY";ANNE HATHAWAY;"MACKENZIE FOY""";349000
COLOR;CHRISTOPHER NOLAN;169;187991439.0;SCI-FI;INTERSTELLAR;2014;ENGLISH;USA;165000000.0;8.6;"""MATTHEW MCCONAUGHEY";ANNE HATHAWAY;"MACKENZIE FOY""";349000
COLOR;F. GARY GRAY;167;161029270.0;BIOGRAPHY;STRAIGHT OUTTA COMPTON;2015;ENGLISH;USA;28000000.0;7.9;"""ALDIS HODGE";NEIL BROWN JR.;"R. MARCOS TAYLOR""";76000
COLOR;F. GARY GRAY;167;161029270.0;CRIME;STRAIGHT OUTTA COMPTON;2015;ENGLISH;USA;28000000.0;7.9;"""ALDIS HODGE";NEIL BROWN JR.;"R. MARCOS TAYLOR""";76000
COLOR;F. GARY GRAY;167;161029270.0;DRAMA;STRAIGHT OUTTA COMPTON;2015;ENGLISH;USA;28000000.0;7.9;"""ALDIS HODGE";NEIL BROWN JR.;"R. MARCOS TAYLOR""";76000
COLOR;F. GARY GRAY;167;161029270.0;HISTORY;STRAIGHT OUTTA COMPTON;2015;ENGLISH;USA;28000000.0;7.9;"""ALDIS HODGE";NEIL BROWN JR.;"R. MARCOS TAYLOR""";76000
COLOR;F. GARY GRAY;167;161029270.0;MUSIC;STRAIGHT OUTTA COMPTON;2015;ENGLISH;USA;28000000.0;7.9;"""ALDIS HODGE";NEIL BROWN JR.;"R. MARCOS TAYLOR""";76000
COLOR;QUENTIN TARANTINO;580;162804648.0;DRAMA;DJANGO UNCHAINED;2012;ENGLISH;USA;100000000.0;8.5;"""LEONARDO DICAPRIO";CHRISTOPH WALTZ;"ATO ESSANDOH""";199000
COLOR;QUENTIN TARANTINO;580;162804648.0;WESTERN;DJANGO UNCHAINED;2012;ENGLISH;USA;100000000.0;8.5;"""LEONARDO DICAPRIO";CHRISTOPH WALTZ;"ATO ESSANDOH""";199000
COLOR;MICHAEL BAY;165;245428137.0;ACTION;TRANSFORMERS: AGE OF EXTINCTION;2014;ENGLISH;USA;210000000.0;5.7;"""BINGBING LI";SOPHIA MYLES;"KELSEY GRAMMER""";56000
COLOR;MICHAEL BAY;165;245428137.0;ADVENTURE;TRANSFORMERS: AGE OF EXTINCTION;2014;ENGLISH;USA;210000000.0;5.7;"""BINGBING LI";SOPHIA MYLES;"KELSEY GRAMMER""";56000
COLOR;MICHAEL BAY;165;245428137.0;SCI-FI;TRANSFORMERS: AGE OF EXTINCTION;2014;ENGLISH;USA;210000000.0;5.7;"""BINGBING LI";SOPHIA MYLES;"KELSEY GRAMMER""";56000
COLOR;PETER JACKSON;164;255108370.0;ADVENTURE;THE HOBBIT: THE BATTLE OF THE FIVE ARMIES;2014;ENGLISH;NEW ZEALAND;250000000.0;7.5;"""AIDAN TURNER";ADAM BROWN;"JAMES NESBITT""";65000
COLOR;PETER JACKSON;164;255108370.0;FANTASY;THE HOBBIT: THE BATTLE OF THE FIVE ARMIES;2014;ENGLISH;NEW ZEALAND;250000000.0;7.5;"""AIDAN TURNER";ADAM BROWN;"JAMES NESBITT""";65000
COLOR;TOM HOOPER;158;148775460.0;DRAMA;LES MISÉRABLES;2012;ENGLISH;USA;61000000.0;7.6;"""HUGH JACKMAN";EDDIE REDMAYNE;"ANNE HATHAWAY""";144000
COLOR;TOM HOOPER;158;148775460.0;MUSICAL;LES MISÉRABLES;2012;ENGLISH;USA;61000000.0;7.6;"""HUGH JACKMAN";EDDIE REDMAYNE;"ANNE HATHAWAY""";144000
COLOR;TOM HOOPER;158;148775460.0;ROMANCE;LES MISÉRABLES;2012;ENGLISH;USA;61000000.0;7.6;"""HUGH JACKMAN";EDDIE REDMAYNE;"ANNE HATHAWAY""";144000
COLOR;TOM HOOPER;158;148775460.0;DRAMA;LES MISÉRABLES;2012;ENGLISH;USA;61000000.0;7.6;"""HUGH JACKMAN";EDDIE REDMAYNE;"ANNE HATHAWAY""";144000
COLOR;TOM HOOPER;158;148775460.0;MUSICAL;LES MISÉRABLES;2012;ENGLISH;USA;61000000.0;7.6;"""HUGH JACKMAN";EDDIE REDMAYNE;"ANNE HATHAWAY""";144000
COLOR;TOM HOOPER;158;148775460.0;ROMANCE;LES MISÉRABLES;2012;ENGLISH;USA;61000000.0;7.6;"""HUGH JACKMAN";EDDIE REDMAYNE;"ANNE HATHAWAY""";144000
COLOR;KATHRYN BIGELOW;157;95720716.0;DRAMA;ZERO DARK THIRTY;2012;ENGLISH;USA;40000000.0;7.4;"""JENNIFER EHLE";HAROLD PERRINEAU;"PARKER SAWYERS""";39000
COLOR;KATHRYN BIGELOW;157;95720716.0;HISTORY;ZERO DARK THIRTY;2012;ENGLISH;USA;40000000.0;7.4;"""JENNIFER EHLE";HAROLD PERRINEAU;"PARKER SAWYERS""";39000
COLOR;KATHRYN BIGELOW;157;95720716.0;THRILLER;ZERO DARK THIRTY;2012;ENGLISH;USA;40000000.0;7.4;"""JENNIFER EHLE";HAROLD PERRINEAU;"PARKER SAWYERS""";39000
COLOR;RIDLEY SCOTT;156;105219735.0;ACTION;ROBIN HOOD;2010;ENGLISH;USA;200000000.0;6.7;"""MARK ADDY";WILLIAM HURT;"SCOTT GRIMES""";17000
COLOR;RIDLEY SCOTT;156;105219735.0;ADVENTURE;ROBIN HOOD;2010;ENGLISH;USA;200000000.0;6.7;"""MARK ADDY";WILLIAM HURT;"SCOTT GRIMES""";17000
COLOR;RIDLEY SCOTT;156;105219735.0;DRAMA;ROBIN HOOD;2010;ENGLISH;USA;200000000.0;6.7;"""MARK ADDY";WILLIAM HURT;"SCOTT GRIMES""";17000
COLOR;RIDLEY SCOTT;156;105219735.0;HISTORY;ROBIN HOOD;2010;ENGLISH;USA;200000000.0;6.7;"""MARK ADDY";WILLIAM HURT;"SCOTT GRIMES""";17000
COLOR;MICHAEL BAY;154;352358779.0;ACTION;TRANSFORMERS: DARK OF THE MOON;2011;ENGLISH;USA;195000000.0;6.3;"""GLENN MORSHOWER";LESTER SPEIGHT;"KEVIN DUNN""";46000
COLOR;MICHAEL BAY;154;352358779.0;ADVENTURE;TRANSFORMERS: DARK OF THE MOON;2011;ENGLISH;USA;195000000.0;6.3;"""GLENN MORSHOWER";LESTER SPEIGHT;"KEVIN DUNN""";46000
COLOR;MICHAEL BAY;154;352358779.0;SCI-FI;TRANSFORMERS: DARK OF THE MOON;2011;ENGLISH;USA;195000000.0;6.3;"""GLENN MORSHOWER";LESTER SPEIGHT;"KEVIN DUNN""";46000
COLOR;DENIS VILLENEUVE;153;60962878.0;CRIME;PRISONERS;2013;ENGLISH;USA;46000000.0;8.1;"""HUGH JACKMAN";JAKE GYLLENHAAL;"DYLAN MINNETTE""";86000
COLOR;DENIS VILLENEUVE;153;60962878.0;DRAMA;PRISONERS;2013;ENGLISH;USA;46000000.0;8.1;"""HUGH JACKMAN";JAKE GYLLENHAAL;"DYLAN MINNETTE""";86000
COLOR;DENIS VILLENEUVE;153;60962878.0;MYSTERY;PRISONERS;2013;ENGLISH;USA;46000000.0;8.1;"""HUGH JACKMAN";JAKE GYLLENHAAL;"DYLAN MINNETTE""";86000
COLOR;DENIS VILLENEUVE;153;60962878.0;THRILLER;PRISONERS;2013;ENGLISH;USA;46000000.0;8.1;"""HUGH JACKMAN";JAKE GYLLENHAAL;"DYLAN MINNETTE""";86000
COLOR;MARC WEBB;153;262030663.0;ACTION;THE AMAZING SPIDER-MAN;2012;ENGLISH;USA;230000000.0;7.0;"""EMMA STONE";ANDREW GARFIELD;"CHRIS ZYLKA""";56000
COLOR;MARC WEBB;153;262030663.0;ADVENTURE;THE AMAZING SPIDER-MAN;2012;ENGLISH;USA;230000000.0;7.0;"""EMMA STONE";ANDREW GARFIELD;"CHRIS ZYLKA""";56000
COLOR;MARC WEBB;153;262030663.0;FANTASY;THE AMAZING SPIDER-MAN;2012;ENGLISH;USA;230000000.0;7.0;"""EMMA STONE";ANDREW GARFIELD;"CHRIS ZYLKA""";56000
COLOR;NAN;151;228430993.0;ADVENTURE;THE MARTIAN;2015;ENGLISH;USA;108000000.0;8.1;"""MATT DAMON";DONALD GLOVER;"BENEDICT WONG""";153000
COLOR;NAN;151;228430993.0;DRAMA;THE MARTIAN;2015;ENGLISH;USA;108000000.0;8.1;"""MATT DAMON";DONALD GLOVER;"BENEDICT WONG""";153000
COLOR;NAN;151;228430993.0;SCI-FI;THE MARTIAN;2015;ENGLISH;USA;108000000.0;8.1;"""MATT DAMON";DONALD GLOVER;"BENEDICT WONG""";153000
COLOR;RIDLEY SCOTT;150;65007045.0;ACTION;EXODUS: GODS AND KINGS;2014;ENGLISH;UK;140000000.0;6.1;"""CHRISTIAN BALE";MARÍA VALVERDE;"BEN MENDELSOHN""";51000
COLOR;RIDLEY SCOTT;150;65007045.0;ADVENTURE;EXODUS: GODS AND KINGS;2014;ENGLISH;UK;140000000.0;6.1;"""CHRISTIAN BALE";MARÍA VALVERDE;"BEN MENDELSOHN""";51000
COLOR;RIDLEY SCOTT;150;65007045.0;DRAMA;EXODUS: GODS AND KINGS;2014;ENGLISH;UK;140000000.0;6.1;"""CHRISTIAN BALE";MARÍA VALVERDE;"BEN MENDELSOHN""";51000
COLOR;RIDLEY SCOTT;150;65007045.0;ACTION;EXODUS: GODS AND KINGS;2014;ENGLISH;UK;140000000.0;6.1;"""CHRISTIAN BALE";MARÍA VALVERDE;"BEN MENDELSOHN""";51000
COLOR;RIDLEY SCOTT;150;65007045.0;ADVENTURE;EXODUS: GODS AND KINGS;2014;ENGLISH;UK;140000000.0;6.1;"""CHRISTIAN BALE";MARÍA VALVERDE;"BEN MENDELSOHN""";51000
COLOR;RIDLEY SCOTT;150;65007045.0;DRAMA;EXODUS: GODS AND KINGS;2014;ENGLISH;UK;140000000.0;6.1;"""CHRISTIAN BALE";MARÍA VALVERDE;"BEN MENDELSOHN""";51000
COLOR;GORE VERBINSKI;650;89289910.0;ACTION;THE LONE RANGER;2013;ENGLISH;USA;215000000.0;6.5;"""JOHNNY DEPP";RUTH WILSON;"TOM WILKINSON""";48000
COLOR;GORE VERBINSKI;650;89289910.0;ADVENTURE;THE LONE RANGER;2013;ENGLISH;USA;215000000.0;6.5;"""JOHNNY DEPP";RUTH WILSON;"TOM WILKINSON""";48000
COLOR;GORE VERBINSKI;650;89289910.0;WESTERN;THE LONE RANGER;2013;ENGLISH;USA;215000000.0;6.5;"""JOHNNY DEPP";RUTH WILSON;"TOM WILKINSON""";48000
COLOR;DAVID FINCHER;149;167735396.0;CRIME;GONE GIRL;2014;ENGLISH;USA;61000000.0;8.1;"""PATRICK FUGIT";SELA WARD;"EMILY RATAJKOWSKI""";146000
COLOR;DAVID FINCHER;149;167735396.0;DRAMA;GONE GIRL;2014;ENGLISH;USA;61000000.0;8.1;"""PATRICK FUGIT";SELA WARD;"EMILY RATAJKOWSKI""";146000
COLOR;DAVID FINCHER;149;167735396.0;MYSTERY;GONE GIRL;2014;ENGLISH;USA;61000000.0;8.1;"""PATRICK FUGIT";SELA WARD;"EMILY RATAJKOWSKI""";146000
COLOR;DAVID FINCHER;149;167735396.0;THRILLER;GONE GIRL;2014;ENGLISH;USA;61000000.0;8.1;"""PATRICK FUGIT";SELA WARD;"EMILY RATAJKOWSKI""";146000
COLOR;BRYAN SINGER;149;233914986.0;ACTION;X-MEN: DAYS OF FUTURE PAST;2014;ENGLISH;UNITED STATES;200000000.0;8.0;"""JENNIFER LAWRENCE";PETER DINKLAGE;"HUGH JACKMAN""";82000
COLOR;BRYAN SINGER;149;233914986.0;ADVENTURE;X-MEN: DAYS OF FUTURE PAST;2014;ENGLISH;UNITED STATES;200000000.0;8.0;"""JENNIFER LAWRENCE";PETER DINKLAGE;"HUGH JACKMAN""";82000
COLOR;BRYAN SINGER;149;233914986.0;FANTASY;X-MEN: DAYS OF FUTURE PAST;2014;ENGLISH;UNITED STATES;200000000.0;8.0;"""JENNIFER LAWRENCE";PETER DINKLAGE;"HUGH JACKMAN""";82000
COLOR;BRYAN SINGER;149;233914986.0;SCI-FI;X-MEN: DAYS OF FUTURE PAST;2014;ENGLISH;UNITED STATES;200000000.0;8.0;"""JENNIFER LAWRENCE";PETER DINKLAGE;"HUGH JACKMAN""";82000
COLOR;BRYAN SINGER;149;233914986.0;THRILLER;X-MEN: DAYS OF FUTURE PAST;2014;ENGLISH;UNITED STATES;200000000.0;8.0;"""JENNIFER LAWRENCE";PETER DINKLAGE;"HUGH JACKMAN""";82000
COLOR;CHRISTOPHER NOLAN;148;292568851.0;ACTION;INCEPTION;2010;ENGLISH;USA;160000000.0;8.8;"""LEONARDO DICAPRIO";TOM HARDY;"JOSEPH GORDON-LEVITT""";175000
COLOR;CHRISTOPHER NOLAN;148;292568851.0;ADVENTURE;INCEPTION;2010;ENGLISH;USA;160000000.0;8.8;"""LEONARDO DICAPRIO";TOM HARDY;"JOSEPH GORDON-LEVITT""";175000
COLOR;CHRISTOPHER NOLAN;148;292568851.0;SCI-FI;INCEPTION;2010;ENGLISH;USA;160000000.0;8.8;"""LEONARDO DICAPRIO";TOM HARDY;"JOSEPH GORDON-LEVITT""";175000
COLOR;CHRISTOPHER NOLAN;148;292568851.0;THRILLER;INCEPTION;2010;ENGLISH;USA;160000000.0;8.8;"""LEONARDO DICAPRIO";TOM HARDY;"JOSEPH GORDON-LEVITT""";175000
COLOR;PAUL THOMAS ANDERSON;148;8093318.0;COMEDY;INHERENT VICE;2014;ENGLISH;USA;20000000.0;6.7;"""MARTIN DEW";KATHERINE WATERSTON;"SERENA SCOTT THOMAS""";18000
COLOR;PAUL THOMAS ANDERSON;148;8093318.0;CRIME;INHERENT VICE;2014;ENGLISH;USA;20000000.0;6.7;"""MARTIN DEW";KATHERINE WATERSTON;"SERENA SCOTT THOMAS""";18000
COLOR;PAUL THOMAS ANDERSON;148;8093318.0;DRAMA;INHERENT VICE;2014;ENGLISH;USA;20000000.0;6.7;"""MARTIN DEW";KATHERINE WATERSTON;"SERENA SCOTT THOMAS""";18000
COLOR;PAUL THOMAS ANDERSON;148;8093318.0;MYSTERY;INHERENT VICE;2014;ENGLISH;USA;20000000.0;6.7;"""MARTIN DEW";KATHERINE WATERSTON;"SERENA SCOTT THOMAS""";18000
COLOR;PAUL THOMAS ANDERSON;148;8093318.0;ROMANCE;INHERENT VICE;2014;ENGLISH;USA;20000000.0;6.7;"""MARTIN DEW";KATHERINE WATERSTON;"SERENA SCOTT THOMAS""";18000
COLOR;SAM MENDES;148;200074175.0;ACTION;SPECTRE;2015;ENGLISH;UK;245000000.0;6.8;"""CHRISTOPH WALTZ";RORY KINNEAR;"STEPHANIE SIGMAN""";85000
COLOR;SAM MENDES;148;200074175.0;ADVENTURE;SPECTRE;2015;ENGLISH;UK;245000000.0;6.8;"""CHRISTOPH WALTZ";RORY KINNEAR;"STEPHANIE SIGMAN""";85000
COLOR;SAM MENDES;148;200074175.0;THRILLER;SPECTRE;2015;ENGLISH;UK;245000000.0;6.8;"""CHRISTOPH WALTZ";RORY KINNEAR;"STEPHANIE SIGMAN""";85000
COLOR;MICHAEL PATRICK KING;146;95328937.0;COMEDY;SEX AND THE CITY 2;2010;ENGLISH;USA;100000000.0;4.3;"""CHRIS NOTH";LIZA MINNELLI;"KRISTIN DAVIS""";0
COLOR;MICHAEL PATRICK KING;146;95328937.0;DRAMA;SEX AND THE CITY 2;2010;ENGLISH;USA;100000000.0;4.3;"""CHRIS NOTH";LIZA MINNELLI;"KRISTIN DAVIS""";0
COLOR;MICHAEL PATRICK KING;146;95328937.0;ROMANCE;SEX AND THE CITY 2;2010;ENGLISH;USA;100000000.0;4.3;"""CHRIS NOTH";LIZA MINNELLI;"KRISTIN DAVIS""";0
COLOR;TATE TAYLOR;146;169705587.0;DRAMA;THE HELP;2011;ENGLISH;USA;25000000.0;8.1;"""EMMA STONE";BRYCE DALLAS HOWARD;"MIKE VOGEL""";75000
COLOR;FRANCIS LAWRENCE;146;424645577.0;ADVENTURE;THE HUNGER GAMES: CATCHING FIRE;2013;ENGLISH;USA;130000000.0;7.6;"""JENNIFER LAWRENCE";JOSH HUTCHERSON;"SANDRA ELLIS LAFFERTY""";82000
